version	digest	commit	date_validation
0.1.0-cabbeed	sha256:bdc3b14e3b34fd7319ade5c5863fb6fc9c1f29eb9e096a07900c71c0dbef0438	cabbeed	2026-08-25T22:43:27+02:00
0.1.0-7642a09	sha256:6c91e16bd3f5211c892273031f5ab1f1d56d6007e4003e0dd382fef845f2400e	7642a09	2026-09-04T09:00:09+02:00
