version	digest	commit	date_validation
0.1.0-6110ca2	sha256:e9f998f3e07deecf0162fb29b19eb4a222bdd0e998ae29396c871d81491893f8	6110ca2	2026-08-19T11:32:02+02:00
0.1.0-98e2ced	sha256:25279339824458d3247f05764fe48a8af3f892da4627fccac8dff58380d6c547	98e2ced	2026-09-01T09:51:32+02:00
