version	digest	commit	date_validation
0.1.0-825c9c2	sha256:00a6b9f35d6447ff864dbbf9ea8ebf797516ece5588ba42aa029998c632c9dd7	825c9c2	2026-08-27T16:29:59+02:00
0.1.0-4e5a390	sha256:1a3b69ddd64ea2fc1cfbea53a63b17277b79bc8d49662d4252e48aea6047b48c	4e5a390	2026-09-05T19:29:58+02:00
